Marca temporal,Grado:,"¿Cuenta con computador de mesa o portátil en su casa disponible para trabajar? El computador debe tener, al menos, 2 GB de RAM.",¿Cuenta con internet de hogar? No incluyen planes de datos.
23/04/2020 15:56:16,10-5,Sí,Sí
23/04/2020 15:57:47,10-5,Sí,Sí
23/04/2020 16:02:33,10-5,No,Sí
23/04/2020 16:03:21,10-5,No,Sí
23/04/2020 16:16:42,11-4,No,Sí
23/04/2020 16:17:40,10-5,No,Sí
23/04/2020 16:18:14,10-5,No,No
23/04/2020 16:18:15,11-4,No,Sí
23/04/2020 16:20:26,11-4,Sí,Sí
23/04/2020 16:22:50,11-4,No,No
23/04/2020 16:23:09,11-4,Sí,Sí
23/04/2020 16:27:35,11-4,No,Sí
23/04/2020 16:33:29,11-4,Sí,Sí
23/04/2020 16:35:09,11-4,No,Sí
23/04/2020 16:39:52,10-5,Sí,Sí
23/04/2020 16:54:47,11-4,No,Sí
23/04/2020 16:57:45,11-4,No,Sí
23/04/2020 17:01:52,10-5,Sí,Sí
23/04/2020 17:05:16,10-5,No,Sí
23/04/2020 17:07:12,11-4,No,No
23/04/2020 17:37:37,10-5,No,No
23/04/2020 18:56:55,10-5,Sí,Sí
23/04/2020 20:03:06,11-4,No,No
24/04/2020 9:19:24,10-5,No,Sí
24/04/2020 11:08:44,10-5,No,No
24/04/2020 11:20:09,10-5,No,No
24/04/2020 12:05:10,10-5,Sí,Sí
24/04/2020 13:15:59,10-5,Sí,Sí
24/04/2020 13:18:55,11-4,Sí,Sí
24/04/2020 13:37:18,10-5,No,Sí
24/04/2020 13:49:18,11-4,Sí,Sí
24/04/2020 13:51:01,11-4,Sí,Sí
24/04/2020 14:30:32,10-5,Sí,Sí
24/04/2020 15:22:11,11-4,No,Sí
24/04/2020 16:59:54,10-5,Sí,Sí
24/04/2020 17:20:29,10-5,No,Sí
24/04/2020 18:34:18,10-5,No,Sí
24/04/2020 22:01:17,10-5,No,Sí
25/04/2020 11:07:27,10-5,Sí,Sí
25/04/2020 15:17:08,10-5,No,No
27/04/2020 9:27:08,11-4,Sí,Sí
27/04/2020 10:04:11,11-4,Sí,Sí
27/04/2020 11:56:48,10-5,No,No
27/04/2020 16:04:56,10-5,Sí,Sí
29/04/2020 9:44:51,10-5,No,No
29/04/2020 10:58:45,11-4,Sí,Sí
29/04/2020 11:00:28,11-4,Sí,Sí
29/04/2020 11:22:25,11-4,No,Sí
30/04/2020 9:23:17,11-4,No,Sí
30/04/2020 9:25:00,11-4,No,Sí
3/05/2020 9:45:07,11-4,No,No
